individual,location,fitness
195,0,1.006937
196,0,0.973736
197,0,1.006937
198,0,1.006937
199,0,1.006937
200,0,1.006937
201,0,1.006937
202,1,1.006937
203,0,1.006937
204,0,1.006937
205,0,1.006937
206,0,1.006937
207,0,1.006937
208,0,1.011924
209,0,0.977002
210,0,1.011924
211,0,1.006937
212,0,1.006937
213,0,1.006937
214,0,1.006937
215,0,1.006937
216,0,0.977002
217,0,1.006937
218,0,0.981841
219,0,1.006937
220,0,1.006937
221,0,1.006937
222,0,1.006937
223,0,1.006937
224,0,1.006937
225,0,1.006937
226,0,0.977002
227,0,1.006937
228,0,1.006937
229,0,1.006937
230,0,1.006937
231,1,1.006937
232,0,0.977002
233,0,1.011924
234,0,1.006937
235,0,1.006937
236,1,0.977002
237,0,1.006937
238,0,1.006937
239,0,0.973736
240,1,1.006937
241,0,1.006937
242,0,1.006937
243,0,0.977002
244,0,1.006937
245,0,0.977002
246,0,1.006937
247,0,1.006937
248,0,1.006937
249,0,0.977002
250,0,0.977002
251,0,1.011924
252,1,1.011924
253,0,1.003570
254,0,1.006937
255,0,1.006937
256,0,1.006937
257,0,1.006937
258,0,1.006937
259,1,1.006937
260,0,1.006937
261,0,1.006937
262,0,1.006937
263,1,1.006937
264,2,1.011924
265,1,1.006937
266,0,1.006937
267,0,1.011924
268,0,1.006937
269,2,0.977002
270,0,1.006937
271,0,1.006937
272,0,1.008541
273,0,1.003570
274,1,1.006937
275,1,1.006937
276,0,1.011924
277,0,1.011924
278,0,1.006937
279,0,1.006937
280,0,1.006937
281,2,1.006937
282,0,1.006937
283,0,0.970272
284,0,1.006937
285,0,1.006937
286,0,1.006937
287,1,0.977002
288,2,0.973736
289,0,0.977002
290,0,0.977002
291,0,1.006937
292,0,1.006937
293,1,1.006937
294,0,1.011924
295,0,1.006937
296,0,0.977002
297,2,1.006937
298,3,1.006937
299,0,1.006937
300,0,0.977002
301,0,1.006937
302,0,1.006937
303,0,1.006937
304,0,1.006937
305,0,0.973736
306,0,0.977002
307,0,1.006937
308,1,1.006937
309,0,1.006937
310,0,1.006937
311,0,1.006937
312,0,1.006937
313,0,1.006937
314,0,0.977002
