Time,DerivedAlleleCopyNumber,NumberOfSites
6000,1035,1
6000,1066,1
6000,1103,1
6000,1141,1
6000,1378,1
6000,1407,1
6000,1430,1
6000,1436,1
6000,1471,1
6000,1523,1
6000,1540,1
6000,1558,1
6000,1687,1
6000,1724,1
6000,1728,1
6000,1766,1
6000,1830,1
6000,1893,1
6000,1917,1
6000,2007,1
6000,2055,1
6000,2445,1
6000,2467,1
6000,2474,1
6000,2652,1
6000,2710,1
6000,2895,1
6000,2947,1
6000,3002,1
6000,3059,1
6000,3101,1
6000,3289,1
6000,3488,1
6000,3572,1
6000,3634,1
6000,3665,1
6000,3706,1
6000,4049,1
6000,4879,1
6000,5251,1
6000,5817,1
6000,5996,1
6000,6118,1
6000,6136,1
6000,6230,1
6000,6244,1
6000,6251,1
6000,6477,1
6000,6518,1
6000,6539,1
6000,7054,1
6000,7654,1
6000,7983,1
6000,8144,1
6000,8266,1
6000,8490,1
6000,8734,1
6000,9025,1
6000,9227,1
6000,9356,1
6000,9532,1
6000,9780,1
6000,9786,1
6000,9894,1
6000,9915,1
6000,10000,1
6000,10932,1
6000,11071,1
6000,11095,1
6000,11225,1
6000,11392,1
6000,11398,1
6000,11661,1
6000,11842,1
6000,11906,1
6000,12341,1
6000,12848,1
6000,12903,1
6000,13013,1
6000,13333,1
6000,14725,1
6000,14888,1
6000,15388,1
6000,15912,1
6000,17414,1
6000,18427,1
6000,18886,1
6000,19358,1
6000,19639,1
6000,19644,1
6000,19799,1
6000,20050,1
7000,1,48
7000,2,24
7000,3,11
7000,4,6
7000,5,5
7000,6,5
7000,7,6
7000,8,6
7000,9,5
7000,10,6
7000,11,1
7000,12,3
7000,13,1
7000,14,2
7000,15,1
7000,16,2
7000,18,4
7000,19,2
7000,20,2
7000,21,3
7000,22,1
7000,23,1
7000,24,2
7000,26,1
7000,27,2
7000,29,1
7000,30,2
7000,31,1
7000,32,1
7000,35,1
7000,36,1
7000,37,1
7000,38,1
7000,40,1
7000,41,1
7000,42,1
7000,44,1
7000,45,1
7000,47,1
7000,48,1
7000,49,2
7000,51,1
7000,55,1
7000,59,1
7000,63,1
7000,64,1
7000,67,3
7000,72,1
7000,74,1
7000,76,1
7000,80,1
7000,81,1
7000,83,1
7000,84,1
7000,85,1
7000,91,1
7000,95,1
7000,96,1
7000,99,1
7000,100,1
7000,108,1
7000,109,1
7000,111,1
7000,114,1
7000,119,1
7000,122,2
7000,126,1
7000,128,1
7000,130,1
7000,151,1
7000,154,1
7000,165,1
7000,171,1
7000,192,2
7000,195,1
7000,198,1
7000,199,1
7000,223,1
7000,227,1
7000,241,1
7000,250,1
7000,252,1
7000,258,1
7000,265,1
7000,273,1
7000,274,1
7000,279,1
7000,297,1
7000,305,1
7000,321,1
7000,326,1
7000,337,1
7000,387,1
7000,395,1
7000,403,1
7000,423,1
7000,458,1
7000,477,1
7000,481,1
7000,521,1
7000,536,1
7000,544,1
7000,579,1
7000,581,1
7000,584,1
7000,683,1
7000,726,1
7000,766,1
7000,842,1
7000,865,1
7000,904,2
7000,962,1
7000,989,1
7000,992,1
7000,994,1
7000,1056,1
7000,1098,1
7000,1125,1
7000,1190,1
7000,1207,1
7000,1237,1
7000,1269,1
7000,1374,1
7000,1413,1
7000,1419,1
7000,1435,1
7000,1486,1
7000,1659,1
7000,1729,1
7000,1764,1
7000,1809,1
7000,1895,1
7000,1993,1
7000,2133,1
7000,2228,1
7000,2436,1
7000,2446,1
7000,2615,1
7000,2787,1
7000,2812,1
7000,2870,1
7000,2873,1
7000,3140,1
7000,3187,1
7000,3249,1
7000,3444,1
7000,3473,1
7000,3809,1
7000,3822,1
7000,4115,1
7000,4542,1
7000,4559,1
7000,4785,1
7000,5672,1
7000,5993,1
7000,7450,1
7000,8060,1
7000,8231,1
7000,8290,1
7000,8317,1
7000,8375,1
7000,8484,1
7000,8564,1
7000,8688,1
7000,8973,1
7000,8980,1
7000,9080,1
7000,9125,1
7000,9151,1
7000,9164,1
7000,9176,1
7000,9333,1
7000,9476,1
7000,9500,1
7000,9515,1
7000,9627,1
7000,9708,1
7000,9709,1
7000,9864,1
7000,9905,1
7000,10227,1
7000,10681,1
7000,10743,1
7000,10943,1
7000,11016,1
7000,11094,1
7000,11268,1
7000,11404,1
7000,11780,1
7000,12877,1
7000,13102,1
7000,13195,1
7000,14843,1
7000,15357,1
7000,16096,1
7000,16120,1
7000,16692,1
7000,17889,1
7000,18096,1
7000,18206,1
7000,18560,1
7000,18689,1
7000,18954,1
7000,19147,1
8000,1,40
8000,2,14
8000,3,14
8000,4,6
8000,5,5
8000,6,6
8000,7,3
8000,8,5
8000,9,11
8000,10,4
8000,11,5
8000,13,3
8000,14,3
8000,15,6
8000,16,2
8000,17,4
8000,18,1
8000,19,3
8000,20,1
8000,22,1
8000,23,3
8000,24,1
8000,25,2
8000,26,4
8000,27,3
8000,28,2
8000,29,2
8000,31,1
8000,33,1
8000,35,1
8000,36,1
8000,37,1
8000,38,2
8000,40,1
8000,43,1
8000,45,2
8000,47,1
8000,51,1
8000,54,2
8000,55,1
8000,59,1
8000,60,1
8000,63,1
8000,65,2
8000,67,1
8000,72,1
8000,77,1
8000,78,1
8000,81,2
8000,82,1
8000,83,1
8000,85,1
8000,90,1
8000,93,1
8000,95,1
8000,97,1
8000,100,1
8000,106,1
8000,109,1
8000,117,1
8000,126,1
8000,138,2
8000,143,1
8000,150,1
8000,152,2
8000,157,1
8000,164,1
8000,166,1
8000,170,1
8000,171,1
8000,176,1
8000,181,1
8000,191,2
8000,202,1
8000,207,1
8000,228,1
8000,229,1
8000,231,1
8000,232,3
8000,240,1
8000,243,1
8000,248,1
8000,254,1
8000,269,1
8000,272,1
8000,289,1
8000,302,1
8000,303,1
8000,311,1
8000,312,1
8000,324,2
8000,325,1
8000,331,1
8000,380,1
8000,381,1
8000,403,1
8000,408,1
8000,413,1
8000,424,1
8000,428,1
8000,432,1
8000,436,1
8000,441,1
8000,457,1
8000,490,1
8000,492,1
8000,509,1
8000,515,1
8000,555,1
8000,561,1
8000,570,1
8000,617,1
8000,633,1
8000,667,1
8000,680,1
8000,743,1
8000,747,1
8000,754,1
8000,778,1
8000,820,1
8000,858,1
8000,876,1
8000,940,1
8000,1077,1
8000,1140,1
8000,1216,1
8000,1243,1
8000,1479,1
8000,1501,1
8000,1689,1
8000,1828,1
8000,1846,1
8000,1896,1
8000,2138,1
8000,2287,1
8000,2347,1
8000,2394,1
8000,2439,1
8000,2506,1
8000,2583,1
8000,2689,1
8000,2765,1
8000,2875,1
8000,2882,1
8000,2925,1
8000,2939,1
8000,3316,1
8000,3355,1
8000,3421,1
8000,3763,1
8000,3973,1
8000,4327,1
8000,4359,1
8000,4669,1
8000,4890,1
8000,5315,1
8000,5456,1
8000,5567,1
8000,5739,1
8000,5777,1
8000,6100,1
8000,6104,1
8000,6114,1
8000,6625,1
8000,6632,1
8000,6806,1
8000,7772,1
8000,7795,1
8000,7963,1
8000,8532,1
8000,8838,1
8000,8886,1
8000,8983,1
8000,9050,1
8000,9191,1
8000,9215,1
8000,9281,1
8000,9372,1
8000,9407,1
8000,9408,1
8000,9426,1
8000,9471,1
8000,9488,1
8000,9549,1
8000,10295,1
8000,10566,1
8000,10582,1
8000,10961,1
8000,10963,1
8000,11186,1
8000,11632,1
8000,11982,1
8000,12253,1
8000,12320,1
8000,12537,1
8000,12753,1
8000,13185,1
8000,13930,1
8000,14171,1
8000,14793,1
8000,15123,1
8000,15675,1
8000,16134,1
8000,16323,1
8000,16833,1
8000,17186,1
8000,17455,1
8000,17895,1
8000,18170,1
9000,1,59
9000,2,13
9000,3,12
9000,4,3
9000,5,9
9000,6,4
9000,7,10
9000,8,2
9000,9,3
9000,10,1
9000,11,6
9000,12,2
9000,13,7
9000,14,2
9000,15,1
